ESTADO;ANO;;MES;VALOR TOTAL;QTDE;TICKET MEDIO
ES;2018;2;583,59;11;53,0536363636364
RJ;2017;2;12509,16;80;156,3645
BA;2018;8;20295,7;91;223,02967032967
PE;2018;1;4250,29;40;106,25725
MG;2017;7;38279,9400000002;397;96,4230226700257
MG;2017;1;8926,83999999999;97;92,0292783505154
PE;2017;8;19,9;1;19,9
SC;2016;10;2103,64;15;140,242666666667
DF;2017;2;2411,3;6;401,883333333333
RJ;2017;8;20222,12;115;175,844521739131
ES;2018;8;3567,56;14;254,825714285714
MT;2017;5;95,84;1;95,84
MG;2018;2;65059,7500000001;499;130,380260521042
MA;2018;3;3291,56;44;74,8081818181817
GO;2018;5;7725,58;46;167,947391304348
PR;2017;5;42606,4100000001;249;171,110080321286
CE;2017;9;213,5;4;53,375
PB;2018;2;1350;1;1350
MS;2018;2;149,9;1;149,9
SC;2018;4;38259,0400000001;216;177,125185185185
PR;2017;11;92972,4599999997;625;148,755936
MT;2017;11;2436,7;20;121,835
BA;2017;4;1940,93;9;215,658888888889
MG;2018;8;50579,0900000001;467;108,306402569593
CE;2017;12;599;1;599
RS;2016;10;1513,5;8;189,1875
PR;2016;10;6923,26;45;153,850222222222
MS;2018;8;183,2;2;91,6
CE;2018;2;883,76;6;147,293333333333
RS;2017;6;11705,11;84;139,346547619048
RJ;2018;3;59690,7100000001;345;173,016550724638
RN;2017;4;1677,8;4;419,45
ES;2017;4;1946,2;17;114,482352941176
GO;2017;1;29,8;2;14,9
RS;2018;1;23906,32;114;209,704561403509
MS;2017;1;400,8;2;200,4
BA;2018;5;6920,02;12;576,668333333333
PB;2017;12;2099;2;1049,5
ES;2017;12;1987;18;110,388888888889
SP;2017;10;423229,920000004;3811;111,054820257152
DF;2018;3;4372,27;55;79,4958181818182
PR;2018;1;103325,559999999;730;141,541863013698
RS;2018;7;36898,5900000001;209;176,548277511962
GO;2017;9;5712,13;40;142,80325
PB;2017;6;979;1;979
MG;2017;4;32647,1500000001;282;115,770035460993
SC;2017;8;28192,9700000001;224;125,861473214286
PE;2018;4;10465,2;44;237,845454545454
GO;2018;2;3214,79;30;107,159666666667
PE;2017;11;1892,56;8;236,57
BA;2017;12;21074,18;51;413,219215686275
DF;2017;5;1679,01;27;62,1855555555556
PE;2017;5;151,2;2;75,6
PI;2018;3;295;1;295
MS;2018;5;321,7;3;107,233333333333
CE;2017;6;149,9;1;149,9
RO;2017;12;59;1;59
RJ;2017;5;23885,7200000001;122;195,784590163935
ES;2018;5;3882,05;15;258,803333333333
PR;2017;8;42648,6800000001;301;141,689966777409
MT;2018;6;1783,6;10;178,36
SP;2018;3;675382,040000017;6079;111,100845533808
MG;2018;5;62476,5600000001;487;128,28862422998
MA;2018;6;8891,12999999999;87;102,196896551724
SC;2018;1;35865,1400000001;250;143,46056
RJ;2018;6;67623,0800000001;379;178,425013192613
MT;2017;8;46,5;1;46,5
RS;2017;3;11268,8;107;105,315887850467
ES;2017;1;132,78;4;33,195
RS;2018;4;21731,23;135;160,972074074074
BA;2018;2;2529,48;14;180,677142857143
SP;2017;7;352168,11;3324;105,947084837545
BA;2017;1;2891,04;8;361,38
GO;2017;12;2295,8;23;99,8173913043478
MS;2017;10;1084,7;5;216,94
PB;2017;9;449,5;1;449,5
MS;2017;4;627,96;4;156,99
RN;2018;8;409;4;102,25
SC;2017;11;51303,0200000001;297;172,737441077442
DF;2018;6;4309,36;47;91,6885106382978
CE;2017;1;42,82;2;21,41
PR;2018;4;97614,6899999997;626;155,934009584664
PE;2017;12;828,95;5;165,79
ES;2017;7;2483,95;25;99,358
SP;2017;5;331905,349999999;2902;114,371243969676
PE;2017;6;337,09;5;67,418
CE;2017;7;216,4;3;72,1333333333333
RN;2017;11;1174;6;195,666666666667
MS;2018;6;185,9;1;185,9
RS;2017;9;13695,59;83;165,007108433735
DF;2017;8;3984,05;41;97,1719512195122
MA;2018;1;499,91;9;55,5455555555556
MG;2018;6;70812,1100000001;537;131,866126629423
PR;2017;9;39869,6900000001;290;137,481689655173
MT;2018;7;553,8;6;92,3
ES;2018;6;4158,59;17;244,622941176471
RO;2017;11;740,36;3;246,786666666667
MA;2018;7;7324,22999999999;77;95,11987012987
RJ;2018;7;51704,3900000001;355;145,646169014085
RO;2018;1;144,9;2;72,45
AM;2017;2;949;1;949
SP;2018;9;145;1;145
RJ;2017;11;86336,87;424;203,624693396226
MT;2018;1;2198,74;22;99,9427272727273
RN;2017;8;1329,9;6;221,65
CE;2017;10;149,9;1;149,9
